air_temp,apd,day,dewpoint,dpd,gust,hour,lat,lat_attr,lon,lon_attr,minute,month,mwd,obs_time,pressure,ptdy,station_id,tide,vis,water_temp,wave_height,wind_dir,wind_speed
12.5,6,2,,7,13,14,35.712,35.712,-121.858,-121.858,50,4,334,4/2/2018 14:50:00,1011.9,0.9,46028,,,13,2.6,340,12
6.9,6.1,2,1.9,8,9,14,46.143,46.143,-124.485,-124.485,50,4,329,4/2/2018 14:50:00,1018.5,2.4,46029,,,9.3,2.6,310,8
,6.9,2,,9,,14,57.026,57.026,-177.738,-177.738,50,4,97,4/2/2018 14:50:00,1021,-1.3,46035,,,,3.6,,
5.7,,2,,9,7,15,48.35,48.35,-133.94,-133.94,0,4,,4/2/2018 15:00:00,1022.9,-0.1,46036,,,7.5,2.3,320,6
7.4,6.4,2,,8,12,14,47.353,47.353,-124.742,-124.742,50,4,317,4/2/2018 14:50:00,1016.1,2.5,46041,,,9.3,2.9,310,10
11.8,5.6,2,,8,13,14,36.785,36.785,-122.398,-122.398,50,4,318,4/2/2018 14:50:00,1013.2,0.6,46042,,,13,2.3,320,11
14.2,5,2,,7,,14,32.398,32.398,-119.498,-119.498,50,4,313,4/2/2018 14:50:00,1011.8,0.4,46047,,,15.3,1.3,,
7,,2,3.1,,13,15,44.677,44.677,-124.515,-124.515,10,4,,4/2/2018 15:10:00,1021.3,,46050,,,9.9,,340,10
11.8,,2,11.1,,2,15,34.252,34.252,-119.853,-119.853,10,4,,4/2/2018 15:10:00,,,46053,,,12.5,,200,2
,,2,,,7,15,34.265,34.265,-120.477,-120.477,10,4,,4/2/2018 15:10:00,1012.3,,46054,,,11.6,,310,6
11.9,,2,9.7,,8,15,38.072,38.072,-129.966,-129.966,10,4,,4/2/2018 15:10:00,1021.4,,46059,,,13.7,,20,7
4,3.5,2,,4,6,14,60.584,60.584,-146.805,-146.805,50,4,346,4/2/2018 14:50:00,1025.2,0.4,46060,,,4.8,0.5,10,5
4.3,3.6,2,,10,10,14,60.23,60.23,-146.843,-146.843,50,4,183,4/2/2018 14:50:00,1023.8,0.4,46061,,,,0.7,20,9
3.6,6.6,2,,9,,14,52.785,52.785,-155.047,-155.047,50,4,151,4/2/2018 14:50:00,1021.1,-1,46066,,,4.2,2.3,,
12.8,6.2,2,,8,8,14,33.674,33.674,-120.212,-120.212,50,4,305,4/2/2018 14:50:00,1012.5,1.5,46069,,,13.2,1.7,320,7
,6.6,2,,10,,14,53.983,53.983,-160.817,-160.817,50,4,130,4/2/2018 14:50:00,1019.8,-1.2,46075,,,4.2,2.6,,
,4.9,2,,10,8,14,59.502,59.502,-147.99,-147.99,50,4,179,4/2/2018 14:50:00,,,46076,,,,0.9,360,7
3.5,4.7,2,-2.2,6,13,14,57.91,57.91,-154.175,-154.175,50,4,45,4/2/2018 14:50:00,1026.3,0,46077,,,3.4,1.6,40,10
4.4,6.8,2,2.1,9,,14,55.556,55.556,-152.582,-152.582,50,4,181,4/2/2018 14:50:00,1022.5,-0.9,46078,,,,1.4,,
3.1,3.2,2,-7.3,,6,14,60.799,60.799,-148.263,-148.263,50,4,,4/2/2018 14:50:00,1025.7,0,46081,,,5.2,0.1,280,5
,4.5,2,,5,,14,59.681,59.681,-143.372,-143.372,50,4,23,4/2/2018 14:50:00,1019.9,-0.5,46082,,,5.6,1.5,,
4.2,4.6,2,,5,4,14,58.3,58.3,-137.997,-137.997,50,4,44,4/2/2018 14:50:00,1015.8,-0.4,46083,,,5.5,0.9,50,2
3.9,4.8,2,,7,10,14,55.868,55.868,-142.492,-142.492,50,4,,4/2/2018 14:50:00,1017.8,0.5,46085,,,5.6,1.7,30,9
